Company,URL of Job Description,Role,Country,Date of Application,Running Time,Stage,Notes
Spenddesk,https://www.linkedin.com/jobs/view/4393461391/,Full Stack Data,Spain,5/30/2026,14,Application Sent,
Hunterbond,https://www.linkedin.com/jobs/view/4417965174/,Not Specified,UK,5/30/2026,14,Application Sent,
Europ Assistance,https://www.linkedin.com/jobs/view/4418800998/,Not Specified,France,5/30/2026,14,Application Sent,
Kairos,,Snowflake Dev,Spain,5/31/2026,13,Declined,
Hitachi,https://www.linkedin.com/jobs/view/4422511471/,Senior Data Specialist,Spain,5/31/2026,13,Application Sent,
Scopely,https://www.linkedin.com/jobs/view/4418170995/,Lead Analytics Engineer,Spain,6/1/2026,12,Declined,
Visium,https://www.linkedin.com/jobs/view/4402535705/,Senior Data Modeler,Spain,6/1/2026,12,Declined,
Accenture,https://www.linkedin.com/jobs/view/4418811889/,Not Specified,Not Specified,6/1/2026,12,Application Sent,
Knowmadmood,https://es.indeed.com/viewjob?jk=b64edbc6e1a2da2e&from=appshareios,Business Analyst Power BI o Tableau (Híbrido: 1 día presencial) INGLÉS C1,Spain,6/1/2026,12,Application Sent,
Brain Rocket,https://www.linkedin.com/jobs/view/4411586157/,Senior Insight Analyst,Spain,6/1/2026,12,Declined,
Impact,https://www.linkedin.com/jobs/view/4414224547/,Senior Data Officer,Switzerland,6/1/2026,12,Application Sent,
Zazume,https://www.linkedin.com/jobs/view/4418730444/,Business Data Analyst,Spain,6/1/2026,12,Application Sent,
Agap2,https://www.linkedin.com/jobs/view/4420446901/,Not Specified,Spain,6/1/2026,12,Application Sent,
Acciona,https://www.linkedin.com/jobs/view/4418746541/,Not Specified,Spain,6/1/2026,12,Application Sent,
Gazechim,https://www.linkedin.com/jobs/view/4421805090/,Not Specified,Not Specified,6/1/2026,12,Declined,
Cluepoints,https://www.linkedin.com/jobs/view/4421696440/,Not Specified,UK,6/1/2026,12,Application Sent,
BestData,https://www.linkedin.com/jobs/view/4418739720/,BI Consultant,Spain,6/1/2026,12,Application Sent,
Odilo,https://www.linkedin.com/jobs/view/4423220399/,Not Specified,Spain,6/2/2026,11,Application Sent,
Cushman and Wakefiled,https://www.linkedin.com/jobs/view/4338266807/,BI Analyst,Belgium,6/2/2026,11,Application Sent,
IT Proposal,https://www.careers-page.com/itproposal/job/5WR44RW3?utm_medium=free_job_board&utm_source=linkedin,Not Specified,Belgium,6/2/2026,11,Application Sent,
gft,https://jobs.gft.com/job/Alcobendas-Analytics-Engineer-&-Developer-M-28108/1395586333/?utm_campaign=LinkedinJobPostings&utm_source=LinkedinJobPostings&applySourceOverride=LinkedIn,Not Specified,Spain,6/2/2026,11,Application Sent,
Philip Morris International,https://www.linkedin.com/jobs/view/4416957154/,Not Specified,Belgium,6/2/2026,11,Application Sent,
United Petfood,https://www.linkedin.com/jobs/view/4414602198/,Not Specified,Belgium,6/2/2026,11,Declined,
Smappee,https://www.linkedin.com/jobs/view/4415271836/,Not Specified,Belgium,6/2/2026,11,Declined,
IVI RMA GLOBAL,https://www.linkedin.com/jobs/view/4419267130/,Not Specified,Spain,6/2/2026,11,Declined,
Resultance,https://www.linkedin.com/jobs/view/4422836366/,Not Specified,Luxembourgh,6/3/2026,10,Application Sent,
Excelia,https://www.linkedin.com/jobs/view/4419626604/,Not Specified,Spain,6/3/2026,10,Application Sent,
SHA,https://www.linkedin.com/jobs/view/4422644004/,Not Specified,Spain,6/3/2026,10,Application Sent,
Sapindex,https://www.linkedin.com/jobs/view/4420956576/,Not Specified,Spain,6/3/2026,10,Application Sent,
SDG,https://www.linkedin.com/jobs/view/4417643572/,Snowflake engineer,Spain,6/3/2026,10,Declined,
Bismart,https://www.linkedin.com/jobs/view/4423942672/,Tech lead,Spain,6/3/2026,10,Declined,
SlashMobility,https://www.linkedin.com/jobs/view/4422911188/,Not Specified,Spain,6/3/2026,10,Declined,
Senseistalent,https://www.linkedin.com/jobs/view/4422679589/,Not Specified,Spain,6/4/2026,9,Declined,
Logicalis,https://www.linkedin.com/jobs/view/4422695843/,Not Specified,Spain,6/4/2026,9,Declined,
People first,https://www.linkedin.com/jobs/view/4419681243/,Not Specified,Spain,6/4/2026,9,Application Sent,
SCS,https://www.linkedin.com/jobs/view/4416879953/,Not Specified,Luxembourgh,6/4/2026,9,Declined,
CompleteAssistance,https://www.linkedin.com/jobs/view/4419278110/,Not Specified,Luxembourgh,6/4/2026,9,Application Sent,
MyGWork,https://www.linkedin.com/jobs/view/4420112075/,Not Specified,UK,6/4/2026,9,Application Sent,
SSE,https://www.linkedin.com/jobs/view/4422475154/,Not Specified,UK,6/4/2026,9,Application Sent,
Talan,https://www.linkedin.com/jobs/view/4422985427/,Not Specified,France,6/5/2026,8,Declined,
Coins.ph,https://www.linkedin.com/jobs/view/4424036429/,Not Specified,France,6/5/2026,8,Application Sent,
Tenth recolution group,https://www.linkedin.com/jobs/view/4414311955/,Not Specified,France,6/5/2026,8,Declined,
SIC,https://www.linkedin.com/jobs/view/4424342709/,Not Specified,France,6/5/2026,8,Declined,
Larouchelle,https://www.linkedin.com/jobs/view/4416044094/,Not Specified,France,6/5/2026,8,Application Sent,
GMV,https://www.linkedin.com/jobs/view/4423508670/,Not Specified,Spain,6/5/2026,8,Declined,
Virtusa,https://www.linkedin.com/jobs/view/4419282746/,Not Specified,Not Specified,6/5/2026,8,Application Sent,
Keyrus,https://www.linkedin.com/jobs/view/4418522042/,Not Specified,Spain,6/5/2026,8,Declined,
Th3rdcurve,https://www.linkedin.com/jobs/view/4424187684/,Not Specified,UK,6/5/2026,8,Declined,
